server_disk,downtime_hours,repair_cost,lost_revenue,mttr,mttf,availability_percent,failures
S1D1,21.59,20000.00,3237.91,2.16,876.00,99.75,10
S1D2,22.76,23100.00,3642.23,2.07,796.36,99.74,11
S1D3,28.16,24700.00,5068.84,2.17,673.85,99.68,13
S2D1,20.88,24200.00,3550.29,1.90,796.36,99.76,11
S2D2,20.79,20000.00,3119.06,2.08,876.00,99.76,10
S2D3,30.31,34500.00,6062.29,2.02,584.00,99.66,15
S3D1,15.99,16400.00,2478.63,2.00,1095.00,99.82,8
S3D2,24.71,27950.00,3953.29,1.90,673.85,99.72,13
S3D3,30.17,29250.00,5279.75,2.01,584.00,99.66,15
